frame_name	left	top	right	bottom
normal_01	2	1	39	57
normal_02	46	1	87	57
normal_03	94	1	134	57
normal_04	142	1	186	57
normal_05	196	1	232	57
normal_06	249	1	291	57
normal_07	302	1	346	57
run_01		13	1217	53	1271
run_02		65	1217	108	1271
run_03		119	1217	160	1271
run_04		170	1217	211	1271
run_05		219	1217	271	1271
run_06		278	1217	324	1271
run_07		333	1217	375	1271
run_08		385	1217	426	1271
run_09		439	1217	474	1271
run_10		487	1217	536	1271
run_11		546	1217	601	1271
run_12		610	1217	665	1271
run_13		678	1217	722	1271
jump_stand_01	7	844	66	887
jump_stand_02	74	826	126	888
jump_stand_03	136	827	190	888
jump_stand_04	202	822	256	891
jump_stand_05	268	818	319	892
jump_stand_06	335	827	373	893
jump_stand_07	389	816	424	895
jump_stand_08	447	806	481	899
jump_stand_09	503	808	537	901
jump_stand_10	563	810	597	903
jump_stand_11	14	899	68	982
jump_stand_12	86	909	140	974
jump_stand_13	7	844	66	887
jump_moving_01	9	703	50	745
jump_moving_02	65	681	110	757
jump_moving_03	123	684	180	741
jump_moving_04	198	696	256	738
jump_moving_05	272	694	333	742
jump_moving_06	349	690	407	743
jump_moving_07	418	686	471	744
jump_moving_08	490	687	540	763
jump_moving_09	559	717	618	761
lookup_01	11	496	50	549
lookup_02	59	490	104	549
lookup_03	111	491	160	549
laydown_01	205	500	247	549
laydown_02	258	509	306	549
laydown_03	315	519	369	549
laydown_04	378	516	431	551	
slash_stand_01	5	337	50	388
slash_stand_02	54	326	105	388
slash_stand_03	115	314	160	388
slash_stand_04	171	324	253	388
slash_stand_05	260	335	311	388
slash_jump_01	13	1077	65	1131
slash_jump_02	75	1075	125	1127
slash_jump_03	140	1067	187	1133
slash_jump_04	199	1078	251	1134
slash_jump_05	266	1079	349	1130
slash_jump_06	361	1087	408	1142
slash_laydown_01	9	640	56	673
slash_laydown_02	64	642	109	673
slash_laydown_03	115	640	186	673
slash_laydown_04	193	639	285	673
slash_laydown_05	298	640	382	673
slash_laydown_06	392	640	463	673
slash_laydown_07	475	642	520	673
climb_horizon_01	11	1362	40	1448
climb_horizon_02	53	1361	81	1450
climb_horizon_03	94	1374	122	1448
climb_horizon_04	133	1377	175	1439
climb_horizon_05	186	1363	217	1439
climb_horizon_06	231	1358	260	1444
climb_horizon_07	274	1367	302	1446
climb_horizon_08	314	1377	346	1440
climb_horizon_09	356	1377	398	1439
climb_horizon_10	406	1362	434	1443
boring_01	6	83	46	135	
boring_02	51	81	112	134
boring_03	116	80	178	134
boring_04	180	81	221	134
boring_05	228	81	267	134
boring_06	275	81	311	134
boring_07	319	81	359	134
boring_08	366	79	407	134
boring_09	417	61	460	134
boring_10	465	57	507	134
boring_11	516	63	558	134
boring_12	568	72	610	134
boring_13	619	80	660	134
boring_14	668	80	708	134
boring_15	715	81	754	134
boring_circus_01	3	165	39	218
boring_circus_02	46	165	86	218
boring_circus_03	91	163	132	218
boring_circus_04	140	155	178	218
boring_circus_05	188	151	229	218
boring_circus_06	238	159	280	217
boring_circus_07	287	168	325	217
boring_circus_08	334	168	373	217
boring_circus_09	378	168	417	217
boring_circus_10	425	156	463	217
boring_circus_11	472	150	510	217
boring_circus_12	519	143	555	217
boring_circus_13	568	138	607	217
boring_circus_14	615	155	657	217
boring_circus_15	666	163	707	217
boring_circus_16	715	163	755	217
boring_circus_17	762	164	801	217




